Tag,Operation,Short Description,Extended Description
Interactions,create_interaction_response,Create a response to an interaction from the Gateway,
Threads,get_thread_member,"Retrieve the [thread member](https://discord.com/developers/docs/resources/channel#thread-member-object) object for a user, if they are a member of the thread",
Threads,add_thread_member,Add a member to a thread,
Threads,delete_thread_member,Remove a member from a thread,
Threads,list_thread_members,Lists all [members](https://discord.com/developers/docs/resources/channel#thread-member-object) for a thread,
Channels,set_channel_permission_overwrite,Edit a permission overwrites for a user or role in a channel,
Channels,delete_channel_permission_overwrite,Delete a permission overwrite for a user or role in a channel,
Channels,add_group_dm_user,Add a user to a group DM,
Channels,delete_group_dm_user,Remove a user from a group DM,
Channels,follow_channel,Follow an announcement channel which sends its published messages to a target channel,
Messages,get_message,Retrieve a [message](https://discord.com/developers/docs/resources/channel#message-object) in the channel,
Messages,delete_message,Delete a message in the channel,
Messages,update_message,Edit a [message](https://discord.com/developers/docs/resources/channel#message-object) in the channel,
Messages,list_messages,List [messages](https://discord.com/developers/docs/resources/channel#message-object) in the channel,
Messages,create_message,Post a [message](https://discord.com/developers/docs/resources/channel#message-object) to a channel,
Webhooks,list_channel_webhooks,List a channel's [webhooks](https://discord.com/developers/docs/resources/webhook#webhook-object),
Webhooks,create_webhook,Create a new [webhook](https://discord.com/developers/docs/resources/webhook#webhook-object) for the channel,
Invites,list_channel_invites,List [invites](https://discord.com/developers/docs/resources/invite#invite-object) for a channel,
Invites,create_channel_invite,Create an [invite](https://discord.com/developers/docs/resources/invite#invite-object) for a channel,
Threads,create_thread,Create a new thread in the channel,
Channels,trigger_typing_indicator,Post a 10-second typing indicator for the channel,
Channels,pin_message,Pin a message in the channel,
Channels,unpin_message,Unpin a message in the channel,
Channels,list_pinned_messages,List all pinned [messages](https://discord.com/developers/docs/resources/channel#message-object) in a channel,
Webhooks,get_webhook_message,Retrieve a previously-sent webhook message using the same token,
Webhooks,delete_webhook_message,Delete a message that was created by the webhook,
Webhooks,update_webhook_message,Edit a previously-sent webhook [message](https://discord.com/developers/docs/resources/channel#message-object) using the same token,
Webhooks,execute_github_compatible_webhook,"Execute a [Github webhook](https://support.discord.com/hc/en-us/articles/228383668-Intro-to-Webhooks), using this endpoint as the ""Payload URL""",
Webhooks,execute_slack_compatible_webhook,Execute a [Slack-compatible webhoook](https://api.slack.com/messaging/webhooks),
Guild Templates,get_guild_template,Retrieve a [guild template](https://discord.com/developers/docs/resources/guild-template#guild-template-object),
Guild Templates,create_guild_from_template,Create a new guild based on a guild template,
Guilds,get_guild_new_member_welcome,,
Scheduled Events,get_guild_scheduled_event,Retrieve a [scheduled event](https://discord.com/developers/docs/resources/guild-scheduled-event#guild-scheduled-event-object) in the guild,
Scheduled Events,delete_guild_scheduled_event,Delete a scheduled event in the guild,
Scheduled Events,update_guild_scheduled_event,Edit a [scheduled event](https://discord.com/developers/docs/resources/guild-scheduled-event#guild-scheduled-event-object) in the guild,
Scheduled Events,list_guild_scheduled_events,List all [scheduled events](https://discord.com/developers/docs/resources/guild-scheduled-event#guild-scheduled-event-object) in the guild,
Scheduled Events,create_guild_scheduled_event,Create a [scheduled event](https://discord.com/developers/docs/resources/guild-scheduled-event#guild-scheduled-event-object) in the guild,
Guilds,get_guild_welcome_screen,Retrieve the [welcome screen](https://discord.com/developers/docs/resources/guild#welcome-screen-object) for a guild,
Guilds,update_guild_welcome_screen,Update the [welcome screen](https://discord.com/developers/docs/resources/guild#welcome-screen-object) properties and channels for a guild,
Voice,update_voice_state,Updates a user's voice state in the guild,
Guilds,delete_guild_integration,Removes an [integration](https://discord.com/developers/docs/resources/guild#integration-object) from a guild and deletes any associated webhooks and bot users,
Guilds,list_guild_integrations,List [integrations](https://discord.com/developers/docs/resources/guild#integration-object) in a guild,
Guilds,get_guild_widget,Retrieve the [widget](https://discord.com/developers/docs/resources/guild#guild-widget-object) for a guild,
